year,confID,playoff,firstRound,semis,finals,o_fta,o_3pm,o_oreb,o_asts,o_stl,o_to,o_blk,d_3pa,d_oreb,d_dreb,d_asts,d_stl,d_to,d_blk,attend,tmID,W_post,L_post,blocks_weighted_mean,threeAttempted_weighted_mean,FG%_weighted_mean,FT%_weighted_mean,Avg_Assists_Per_Game_weighted_mean,Durability_Ratio_weighted_mean,POSITION_METRIC_weighted_mean,num_trophies
9,0,0,,,,0.62,0.633,0.467,0.348,0.527,0.808,0.516,0.418,0.753,0.786,1.0,0.753,0.66,0.467,0.415,ATL,,,8.890518062687264,55.9846182509193,0.39913359029834095,0.7345910897139577,1.4567866119073838,0.437410105195298,0.35641506381802424,0.0
10,0,1,0,,,0.692,0.235,0.771,0.536,0.763,0.795,0.379,0.481,0.483,0.672,0.767,1.0,0.815,0.459,0.313,ATL,0.0,2.0,11.42133517160713,33.43675697275096,0.4321835978819932,0.7515821398290475,1.878114898070415,0.47280283671316115,0.3895925737407317,1.0
1,0,0,,,,0.262,0.312,0.3,0.549,0.188,0.384,0.176,0.242,0.331,0.257,0.703,0.413,0.139,0.385,0.165,CHA,,,9.36980847032764,43.516946357605576,0.42159660320101955,0.7589000177998918,2.1876225585541476,0.4955483345955992,0.34804299555876206,0.0
2,0,1,1,1,0,0.143,0.412,0.319,0.263,0.161,0.288,0.333,0.121,0.433,0.0,0.186,0.4,0.22,0.393,0.238,CHA,4.0,4.0,11.813876777813354,55.807468975524294,0.40500192065787904,0.773482134335078,2.4374176226157345,0.6430483039675183,0.3460727935987105,0.0
3,0,1,0,,,0.47,0.674,0.286,0.362,0.29,0.0,0.275,0.128,0.157,0.14,0.341,0.073,0.131,0.237,0.243,CHA,0.0,2.0,10.468872823131663,65.29205233118998,0.3970066009454533,0.7122295128672065,2.086722842922197,0.5319650662012505,0.317742018537665,0.0
4,0,1,0,,,0.293,0.566,0.476,0.372,0.495,0.389,0.34,0.206,0.669,0.143,0.348,0.447,0.305,0.244,0.31,CHA,0.0,2.0,11.254569620631042,65.67442595090935,0.4166652043415591,0.7856034223230975,1.9368277234489786,0.5159935941339654,0.3613170696703628,0.0
5,0,0,,,,0.293,0.471,0.067,0.123,0.124,0.31,0.464,0.076,0.567,0.161,0.432,0.307,0.181,0.319,0.291,CHA,,,14.299094553021845,49.540033059547824,0.4244758554865429,0.7301585915512666,1.5432561195173133,0.47934558598625954,0.30084266129477055,0.0
6,0,0,,,,0.375,0.19,0.352,0.352,0.522,0.555,0.327,0.054,0.494,0.352,0.365,0.48,0.556,0.556,0.2,CHA,,,9.300404802651062,25.480950880315717,0.390912988381909,0.6846564060225414,1.7360383864513542,0.4810667287746876,0.3423812199247466,0.0
7,0,0,,,,0.746,0.516,0.5,0.468,0.688,0.725,0.601,0.336,0.579,0.802,0.453,0.593,0.884,0.4,0.245,CHA,,,15.181129421404222,54.81569688199089,0.40024999638273023,0.6934542113328569,1.6678112372454934,0.4493391119158046,0.30238828815074503,0.0
7,0,0,,,,0.421,0.43,0.548,0.406,0.484,0.52,0.405,0.494,0.629,0.775,0.794,0.433,0.56,0.363,0.0,CHI,,,9.996698417094409,41.892097242141304,0.36948017774537006,0.6745452421484753,1.664247520598595,0.4342312207349048,0.2651309471068348,0.0
