year,confID,rank,playoff,firstRound,semis,finals,o_fgm,o_fga,o_ftm,o_fta,o_3pa,o_oreb,o_dreb,o_reb,o_asts,o_pf,o_stl,o_to,o_blk,d_fgm,d_fga,d_fta,d_3pm,d_3pa,d_oreb,d_reb,d_asts,d_pf,d_stl,d_to,d_blk,GP,attend,win_percentage,loss_percentage,home_win_percentage,home_loss_percentage,away_win_percentage,away_loss_percentage,conference_win_percentage,conference_loss_percentage,tmID_encoded,Avg_Rebounds_Per_Game,Avg_Steals_Per_Game,Avg_Turnovers_Per_Game,FG%,FT%,GP_6,GS,PF,POSITION_METRIC,PostBlocks,PostDQ,PostftAttempted,PostthreeAttempted,Usability,award,birthYear,dq,fgAttempted,ftMade,height,minutes,num_seasons,oRebounds,threeAttempted,total_blocks,total_rebounds,total_steals,total_turnovers,weight,tmID
9,0,4.16,0,0.42,0.21,0.11,840.46,1991.98,475.7,637.46,447.87,326.15,711.52,1037.67,513.61,646.37,260.3,501.96,121.24,841.27,1994.32,637.27,151.04,446.98,326.97,1038.15,515.19,645.93,260.89,500.97,119.5,33.04,143149.86,0.5,0.5,0.61,0.39,0.39,0.61,0.5,0.5,0.0,2.53,0.67,1.64,0.41,0.73,30.15,14.87,57.12,0.29,0.28,0.09,5.35,8.71,0.46,0.04,1980.64,0.21,206.27,39.46,70.59,582.78,7.25,20.91,61.0,5.39,88.17,23.68,57.09,150.56,ATL
10,0,7.0,1,0.0,0.0,0.0,895.0,2258.0,542.0,725.0,598.0,340.0,737.0,1077.0,492.0,796.0,285.0,593.0,142.0,1014.0,2254.0,918.0,172.0,502.0,401.0,1265.0,684.0,726.0,310.0,561.0,134.0,34.0,141379.0,0.12,0.88,0.06,0.94,0.18,0.82,0.1,0.9,0.0,4.19,0.87,1.77,0.45,0.72,29.3,18.16,68.88,0.38,0.49,0.0,2.63,1.79,0.56,0.04,1980.87,0.73,220.43,51.35,72.9,658.48,7.03,38.54,39.28,13.45,124.04,25.68,50.77,157.79,ATL
11,0,3.67,1,0.33,0.0,0.0,1024.33,2371.33,560.0,745.0,448.67,382.67,815.67,1198.33,528.67,759.33,314.33,591.0,128.0,1002.0,2326.67,844.0,178.0,520.67,369.0,1204.33,638.0,708.67,334.67,587.67,133.33,34.0,127617.67,0.39,0.61,0.49,0.51,0.29,0.71,0.34,0.66,9.42,3.39,0.96,1.5,0.43,0.73,31.04,14.32,59.22,0.33,0.11,0.0,2.39,2.39,0.51,0.12,1983.63,0.59,200.35,44.81,72.23,643.45,4.25,32.95,38.79,10.99,108.41,31.21,50.37,162.5,ATL
2,0,8.0,1,0.0,0.0,0.0,812.0,1903.0,431.0,577.0,386.0,305.0,630.0,935.0,551.0,713.0,222.0,496.0,90.0,879.0,1930.0,716.0,138.0,423.0,326.0,990.0,596.0,596.0,259.0,426.0,123.0,32.0,90963.0,0.25,0.75,0.31,0.69,0.19,0.81,0.24,0.76,1.0,3.01,0.99,1.92,0.42,0.77,29.94,17.27,69.46,0.35,0.19,0.0,0.9,1.27,0.63,0.0,1972.13,0.59,228.86,53.81,70.18,763.84,5.82,26.22,66.67,9.35,91.66,30.44,59.83,157.16,CHA
3,0,5.33,1,0.67,0.67,0.33,768.0,1821.0,417.0,544.33,414.0,307.67,636.0,943.67,495.0,641.0,218.67,481.33,106.0,781.0,1874.0,613.33,122.0,387.0,338.0,937.33,494.0,584.67,257.67,440.0,123.67,32.0,100671.0,0.46,0.54,0.56,0.44,0.35,0.65,0.56,0.44,1.0,3.15,0.86,1.82,0.4,0.77,29.9,20.23,66.29,0.32,2.3,0.0,7.53,9.68,0.61,0.0,1972.82,0.75,214.73,50.13,70.82,746.93,6.01,31.66,57.33,14.76,111.7,30.66,64.84,162.81,CHA
4,0,3.67,1,0.58,0.33,0.17,769.0,1805.5,453.5,603.67,470.5,304.83,644.5,949.33,495.5,644.0,229.83,444.67,105.5,779.5,1840.5,605.67,127.5,379.5,316.5,926.17,491.5,592.33,232.83,432.0,113.33,32.0,103670.5,0.51,0.49,0.62,0.37,0.4,0.6,0.56,0.44,1.0,3.42,0.97,1.64,0.42,0.78,29.98,22.0,68.07,0.32,1.5,0.0,5.4,7.7,0.63,0.0,1973.63,0.67,219.91,54.89,70.58,779.24,6.88,33.56,61.58,12.75,117.26,33.58,57.0,158.66,CHA
5,0,3.0,0,0.55,0.2,0.1,776.2,1835.7,454.5,598.2,489.1,319.7,638.3,958.0,496.9,665.2,249.5,465.6,109.3,783.7,1865.1,630.2,131.7,390.5,344.3,958.5,491.3,597.8,245.3,446.8,109.6,32.8,110226.7,0.52,0.48,0.68,0.32,0.36,0.64,0.54,0.46,1.0,3.66,1.04,1.82,0.41,0.77,31.63,25.69,81.29,0.3,1.18,0.0,4.24,6.2,0.66,0.0,1974.02,0.77,227.67,57.33,71.09,844.68,7.27,36.77,60.74,14.62,126.96,35.93,63.47,165.15,CHA
6,0,3.67,0,0.37,0.13,0.07,765.8,1805.13,448.33,595.47,479.07,298.47,630.87,929.33,473.27,659.47,236.33,470.07,117.53,789.13,1887.4,615.8,131.13,376.67,352.2,971.0,499.53,596.87,244.53,443.53,111.07,33.2,112278.8,0.5,0.5,0.65,0.35,0.35,0.65,0.49,0.51,1.0,3.94,1.04,1.76,0.4,0.75,32.49,27.27,83.68,0.38,1.57,0.03,5.38,5.63,0.66,0.0,1976.97,0.79,277.69,60.79,72.46,864.66,9.0,41.19,64.82,22.09,142.38,37.37,63.7,170.46,CHA
7,0,4.33,0,0.26,0.1,0.05,767.57,1835.95,447.95,603.62,428.19,303.48,624.62,928.1,478.9,678.76,249.95,488.62,116.24,806.81,1887.57,643.57,129.1,365.9,353.0,995.0,498.52,613.19,251.52,469.38,121.05,33.43,108214.57,0.41,0.59,0.55,0.45,0.27,0.73,0.41,0.59,1.0,3.79,1.01,1.78,0.39,0.74,31.42,25.08,81.03,0.35,1.07,0.02,3.68,3.66,0.64,0.0,1977.19,0.95,254.88,58.31,72.73,815.82,8.77,39.56,50.6,19.26,131.03,34.84,60.82,169.7,CHA
7,0,4.16,0,0.42,0.21,0.11,840.46,1991.98,475.7,637.46,447.87,326.15,711.52,1037.67,513.61,646.37,260.3,501.96,121.24,841.27,1994.32,637.27,151.04,446.98,326.97,1038.15,515.19,645.93,260.89,500.97,119.5,33.04,143149.86,0.5,0.5,0.61,0.39,0.39,0.61,0.5,0.5,2.0,2.21,0.63,1.18,0.38,0.68,30.17,16.52,66.6,0.26,0.38,0.05,4.7,3.17,0.47,0.0,1978.66,0.5,151.65,27.19,72.3,593.66,6.43,25.82,52.76,8.65,76.35,20.78,40.32,161.61,CHI
8,0,7.0,0,0.0,0.0,0.0,858.0,2175.0,449.0,643.0,536.0,357.0,680.0,1037.0,509.0,674.0,277.0,527.0,125.0,971.0,2147.0,736.0,200.0,536.0,379.0,1239.0,623.0,584.0,262.0,535.0,120.0,34.0,57635.0,0.15,0.85,0.18,0.82,0.12,0.88,0.2,0.8,2.0,3.27,0.9,1.46,0.39,0.71,28.45,18.81,59.78,0.3,0.1,0.0,2.44,1.28,0.58,0.0,1980.89,0.25,214.11,49.57,71.77,685.46,6.29,32.13,33.31,11.27,102.25,26.66,44.38,165.42,CHI
9,0,6.33,0,0.0,0.0,0.0,902.67,2243.0,475.67,696.33,541.33,374.33,748.0,1122.33,567.67,647.33,267.0,515.67,116.33,965.67,2211.0,673.33,189.33,499.33,379.0,1229.67,597.0,650.0,248.67,555.67,132.0,34.0,63583.0,0.32,0.68,0.29,0.71,0.35,0.65,0.27,0.73,2.0,4.47,0.94,1.62,0.41,0.71,30.46,21.57,66.27,0.43,0.21,0.04,2.3,0.36,0.61,0.16,1980.96,0.35,241.94,65.83,71.64,765.61,6.38,49.82,18.77,14.69,146.31,29.31,51.9,163.49,CHI
10,0,5.67,0,0.0,0.0,0.0,900.83,2171.5,519.83,754.17,441.17,365.67,759.0,1124.67,557.83,643.17,268.0,520.33,132.67,941.33,2207.0,664.17,179.67,503.67,372.5,1194.83,564.0,665.5,251.83,538.83,128.0,34.0,62864.5,0.34,0.66,0.38,0.62,0.29,0.71,0.38,0.62,2.0,4.1,0.92,1.65,0.4,0.71,30.11,17.93,62.39,0.34,0.03,0.0,0.85,0.51,0.58,0.04,1982.58,0.58,231.45,60.14,71.61,713.06,5.33,38.73,28.7,14.98,125.44,28.15,50.74,161.34,CHI
11,0,5.4,0,0.0,0.0,0.0,912.5,2157.3,522.7,729.7,453.1,342.2,765.8,1108.0,547.5,627.9,260.4,525.0,134.8,966.4,2231.8,643.7,190.2,539.4,367.1,1179.3,582.4,653.7,260.3,518.9,125.2,34.0,64459.5,0.39,0.61,0.51,0.49,0.27,0.73,0.41,0.59,9.42,4.21,0.69,1.73,0.44,0.73,29.03,18.74,63.97,0.31,0.6,0.0,2.15,2.51,0.55,0.0,1981.56,0.67,188.3,49.83,74.05,649.02,5.67,34.6,41.55,16.38,128.33,20.29,51.99,170.41,CHI
2,0,2.0,1,1.0,0.5,0.0,809.0,1828.0,426.0,570.0,407.0,331.0,603.0,934.0,539.0,647.0,259.0,538.0,91.0,774.0,1761.0,583.0,119.0,368.0,277.0,873.0,540.0,693.0,305.0,552.0,95.0,32.0,137532.0,0.53,0.47,0.81,0.19,0.25,0.75,0.62,0.38,3.0,3.45,0.95,1.8,0.44,0.74,29.6,16.76,73.43,0.31,1.45,0.0,11.01,6.52,0.58,0.0,1974.93,1.11,198.15,49.06,71.4,686.27,6.28,39.08,32.57,11.41,128.54,34.3,62.01,167.79,CLE
3,0,1.33,0,0.67,0.17,0.0,778.33,1789.33,390.0,526.67,359.0,308.33,642.33,950.67,515.0,570.33,264.33,475.33,85.67,700.67,1750.33,490.33,127.67,400.67,290.33,885.0,469.33,629.0,251.67,514.67,116.33,32.0,144092.67,0.64,0.36,0.85,0.15,0.42,0.58,0.68,0.32,3.0,3.93,1.04,1.63,0.45,0.72,29.89,18.53,66.83,0.31,1.62,0.0,7.04,4.18,0.61,0.0,1975.46,0.48,213.35,46.66,71.86,735.81,6.5,39.23,29.46,11.41,132.14,35.17,54.76,167.13,CLE
4,0,4.17,1,0.33,0.08,0.0,769.17,1804.67,410.0,539.83,366.5,301.67,658.17,959.83,497.5,568.67,242.67,463.17,84.33,748.83,1792.17,505.67,138.33,420.83,284.17,901.5,499.67,621.0,246.83,471.33,112.67,32.0,146588.33,0.47,0.53,0.55,0.45,0.4,0.6,0.51,0.49,3.0,3.97,0.93,1.78,0.41,0.75,28.8,19.75,63.09,0.3,0.4,0.0,3.19,2.96,0.62,0.02,1976.14,0.78,237.82,52.51,70.63,740.02,7.44,36.3,53.36,8.04,123.27,29.83,54.73,161.74,CLE
2,0,3.0,0,0.5,0.0,0.0,833.0,1911.0,397.0,546.0,424.0,319.0,606.0,925.0,473.0,583.0,255.0,486.0,130.0,851.0,1964.0,495.0,153.0,450.0,348.0,1017.0,536.0,637.0,264.0,500.0,108.0,32.0,117810.0,0.5,0.5,0.69,0.31,0.31,0.69,0.62,0.38,4.0,4.5,1.25,2.13,0.43,0.72,30.72,24.96,79.46,0.5,2.19,0.0,4.6,5.31,0.69,0.0,1973.28,0.7,260.26,60.94,71.98,869.94,7.44,48.28,48.07,23.33,154.69,42.16,72.11,175.09,CON
3,0,4.33,0,0.17,0.0,0.0,789.67,1913.0,419.0,573.33,496.0,343.67,611.33,955.0,459.0,623.0,298.33,516.67,126.67,821.0,1875.33,568.33,155.67,442.0,326.67,989.0,534.67,612.33,286.67,530.67,112.0,32.0,118519.33,0.44,0.56,0.65,0.35,0.23,0.77,0.49,0.51,4.0,4.04,1.13,1.9,0.41,0.74,29.04,21.97,70.27,0.41,0.56,0.0,1.68,2.28,0.66,0.0,1974.54,0.63,247.86,50.07,71.93,791.33,7.22,41.75,65.28,13.13,124.6,34.37,58.36,170.53,CON
